LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	3PTM	3PTA	3PT%	FGM	FGA	FG%	FTM	FTA	FT%	OR	DR	TR	AST	PF	DF	ST	TO	BLK	BLKA	VAL	+ / -
Musa D., Causeur F., Deck G., Yabusele G., Tavares W.	RMB	8.7	10	3	6	50%	1	3	33%	4	9	44%	1	2	50%	1	9	10	2	6	5	1	7	2	0	11	-2
Williams D., Kalaitzakis G., Papagiannis G., Grigonis M., Lee P.	PAO	15.4	19	6	17	35%	1	8	13%	7	25	28%	4	8	50%	3	8	11	3	8	7	6	3	2	3	12	-9
Musa D., Deck G., Yabusele G., Llull S., Tavares W.	RMB	30.3	76	22	38	58%	7	24	29%	29	62	47%	11	13	85%	20	17	37	19	11	19	5	8	3	1	104	27
Williams D., Papagiannis G., Grigonis M., Kalaitzakis P., Lee P.	PAO	2.5	5	2	2	100%	0	2	0%	2	4	50%	1	2	50%	0	1	1	1	1	2	0	0	0	0	5	0
Williams D., Papagiannis G., Ponitka M., Kalaitzakis P., Lee P.	PAO	11.4	17	4	6	67%	2	8	25%	6	14	43%	3	4	75%	3	2	5	3	5	9	2	3	0	0	19	-19
Musa D., Deck G., Llull S., Rodriguez S., Tavares W.	RMB	1.8	0	0	2	0%	0	0	-	0	2	0%	0	0	-	0	1	1	0	1	0	0	1	0	0	-3	-3
Deck G., Hezonja M., Llull S., Rodriguez S., Tavares W.	RMB	1.8	5	1	1	100%	1	2	50%	2	3	67%	0	0	-	1	1	2	1	0	1	1	1	0	0	8	2
Williams D., Bochoridis E., Papagiannis G., Ponitka M., Kalaitzakis P.	PAO	5	5	1	5	20%	1	4	25%	2	9	22%	0	0	-	4	2	6	1	4	1	0	3	2	1	0	-7
Gudaitis A., Williams D., Bochoridis E., Ponitka M., Kalaitzakis P.	PAO	0.9	1	0	0	-	0	0	-	0	0	-	1	2	50%	0	1	1	0	0	1	0	1	0	0	1	-5
Hezonja M., Cornelie P., Llull S., Rodriguez S., Tavares W.	RMB	4.7	11	2	2	100%	2	4	50%	4	6	67%	1	2	50%	1	4	5	1	2	2	0	0	1	0	15	1
