LINEUP	TM	MIN	PTS	2PTM	2PTA	2PT%	FGM	FGA	FG%	3PTM	3PTA	3PT%	FTM	FTA	FT%	OR	DR	TR	AST	TO	ST	BLK	BLKA	PF	DF	VAL	+ / -
C. Capela, D. Murray, T. Young, S. Bey, J. Johnson	ATL	289	686	190	364	52.1978022	254	569	44.6	64	205	31.2	114	158	72.2	99	186	285	156	96	42	32	36	113	130	0	-88
C. Capela, D. Murray, T. Young, D. Hunter, S. Bey	ATL	177	463	122	236	51.69491525	175	374	46.8	53	138	38.4	60	74	81.1	62	121	183	101	46	34	18	17	71	71	0	8
C. Capela, D. Murray, T. Young, D. Hunter, J. Johnson	ATL	172	418	109	210	51.9047619	153	330	46.4	44	120	36.7	68	82	82.9	51	111	162	87	48	34	25	16	65	66	0	-26
C. Capela, B. Bogdanovic, D. Murray, D. Hunter, V. Krejci	ATL	158	373	93	171	54.38596491	142	305	46.6	49	134	36.6	40	53	75.5	47	114	161	83	35	23	16	17	50	49	0	31
C. Capela, B. Bogdanovic, D. Murray, S. Bey, J. Johnson	ATL	149	338	88	197	44.67005076	123	297	41.4	35	100	35	57	66	86.4	49	119	168	69	38	20	14	21	36	45	0	-20
B. Bogdanovic, T. Young, O. Okongwu, S. Bey, J. Johnson	ATL	136	369	92	157	58.59872611	133	258	51.6	41	101	40.6	62	74	83.8	30	100	130	90	40	22	15	22	39	65	0	41
C. Capela, B. Bogdanovic, D. Murray, D. Hunter, J. Johnson	ATL	135	313	85	159	53.4591195	119	249	47.8	34	90	37.8	41	48	85.4	26	106	132	84	49	27	12	16	38	42	0	-9
D. Murray, T. Young, O. Okongwu, S. Bey, J. Johnson	ATL	103	271	65	121	53.71900826	91	194	46.9	26	73	35.6	63	76	82.9	31	73	104	62	27	8	12	16	39	48	0	0
B. Bogdanovic, T. Young, G. Mathews, O. Okongwu, J. Johnson	ATL	83	201	45	82	54.87804878	70	156	44.9	25	74	33.8	36	43	83.7	15	68	83	45	26	15	6	7	23	38	0	8
B. Bogdanovic, D. Murray, D. Hunter, O. Okongwu, S. Bey	ATL	82	239	52	89	58.42696629	84	155	54.2	32	66	48.5	39	45	86.7	20	53	73	53	22	9	10	7	22	35	0	25
C. Capela, B. Bogdanovic, D. Murray, D. Hunter, S. Bey	ATL	77	195	47	97	48.45360825	73	157	46.5	26	60	43.3	23	28	82.1	26	48	74	46	27	7	3	7	29	20	0	19
C. Capela, B. Bogdanovic, D. Murray, T. Young, S. Bey	ATL	64	168	35	71	49.29577465	58	129	45	23	58	39.7	29	34	85.3	21	40	61	31	19	11	4	7	30	28	0	12
W. Matthews, B. Bogdanovic, T. Young, O. Okongwu, S. Bey	ATL	63	160	27	54	50	51	118	43.2	24	64	37.5	34	41	82.9	15	41	56	30	12	10	4	6	30	31	0	7
D. Murray, B. Fernando, D. Hunter, G. Mathews, V. Krejci	ATL	62	158	37	52	71.15384615	59	99	59.6	22	47	46.8	18	27	66.7	5	32	37	37	23	13	2	0	27	24	0	0
B. Bogdanovic, T. Young, G. Mathews, O. Okongwu, S. Bey	ATL	61	171	40	66	60.60606061	66	123	53.7	26	57	45.6	13	17	76.5	17	43	60	38	15	5	4	11	23	23	0	31
B. Bogdanovic, D. Murray, O. Okongwu, S. Bey, J. Johnson	ATL	39	119	28	48	58.33333333	40	71	56.3	12	23	52.2	27	32	84.4	7	30	37	19	11	11	1	3	19	20	0	35
D. Murray, T. Young, D. Hunter, O. Okongwu, S. Bey	ATL	38	90	16	28	57.14285714	26	56	46.4	10	28	35.7	28	33	84.8	3	21	24	14	21	5	5	1	13	20	0	-35
D. Murray, B. Fernando, D. Hunter, G. Mathews, S. Bey	ATL	38	74	20	40	50	28	67	41.8	8	27	29.6	10	16	62.5	8	22	30	14	15	6	1	4	19	17	0	-23
B. Bogdanovic, D. Murray, D. Hunter, S. Bey, J. Johnson	ATL	36	93	26	46	56.52173913	35	68	51.5	9	22	40.9	14	16	87.5	9	25	34	18	9	5	4	4	10	13	0	12
C. Capela, D. Murray, T. Young, G. Mathews, S. Bey	ATL	36	84	26	43	60.46511628	35	68	51.5	9	25	36	5	7	71.4	5	17	22	24	9	6	2	3	14	10	0	-11
B. Bogdanovic, D. Murray, O. Okongwu, S. Bey, T. Forrest	ATL	34	84	24	40	60	31	70	44.3	7	30	23.3	15	18	83.3	14	17	31	14	8	4	2	2	9	13	0	-4
C. Capela, D. Murray, D. Hunter, G. Mathews, V. Krejci	ATL	32	89	15	28	53.57142857	33	62	53.2	18	34	52.9	5	8	62.5	7	18	25	28	5	5	0	3	11	8	0	5
B. Bogdanovic, B. Fernando, D. Hunter, J. Johnson, K. Bufkin	ATL	31	64	22	38	57.89473684	24	56	42.9	2	18	11.1	14	17	82.4	6	24	30	13	6	4	4	3	9	14	0	-2
C. Capela, B. Bogdanovic, D. Murray, O. Okongwu, S. Bey	ATL	29	82	25	37	67.56756757	32	56	57.1	7	19	36.8	11	14	78.6	7	21	28	13	8	7	3	4	15	9	0	22
C. Capela, B. Bogdanovic, T. Young, S. Bey, J. Johnson	ATL	28	76	20	41	48.7804878	24	57	42.1	4	16	25	24	27	88.9	14	25	39	14	6	3	2	2	8	20	0	17
C. Capela, B. Bogdanovic, D. Murray, S. Bey, V. Krejci	ATL	28	62	18	40	45	25	59	42.4	7	19	36.8	5	6	83.3	13	17	30	16	6	5	4	11	10	9	0	-1
B. Bogdanovic, D. Murray, T. Young, O. Okongwu, J. Johnson	ATL	28	80	22	34	64.70588235	28	47	59.6	6	13	46.2	18	22	81.8	5	19	24	16	11	8	1	3	12	17	0	8
B. Bogdanovic, B. Fernando, D. Hunter, T. Forrest, J. Johnson	ATL	27	66	19	32	59.375	26	47	55.3	7	15	46.7	7	9	77.8	4	24	28	18	3	3	6	0	8	10	0	22
C. Capela, B. Bogdanovic, D. Murray, V. Krejci, J. Johnson	ATL	26	61	15	34	44.11764706	25	56	44.6	10	22	45.5	1	3	33.3	14	19	33	15	8	4	3	3	12	6	0	-5
C. Capela, B. Bogdanovic, D. Murray, T. Young, D. Hunter	ATL	25	68	20	27	74.07407407	26	48	54.2	6	21	28.6	10	13	76.9	4	20	24	17	7	5	1	1	12	12	0	9
D. Murray, T. Young, D. Hunter, S. Bey, J. Johnson	ATL	23	70	14	23	60.86956522	21	43	48.8	7	20	35	21	23	91.3	7	11	18	13	2	1	2	4	12	13	0	-8
B. Bogdanovic, D. Murray, T. Young, O. Okongwu, S. Bey	ATL	23	67	13	22	59.09090909	24	54	44.4	11	32	34.4	8	9	88.9	9	11	20	16	4	5	2	2	12	10	0	-4
B. Fernando, T. Young, D. Hunter, G. Mathews, J. Johnson	ATL	23	63	14	22	63.63636364	21	39	53.8	7	17	41.2	14	17	82.4	2	12	14	18	7	4	2	3	12	17	0	-4
B. Bogdanovic, T. Young, D. Hunter, O. Okongwu, J. Johnson	ATL	22	53	12	22	54.54545455	17	42	40.5	5	20	25	14	18	77.8	6	12	18	8	3	5	0	0	7	11	0	-3
C. Capela, B. Bogdanovic, D. Murray, S. Bey, T. Forrest	ATL	22	51	15	35	42.85714286	19	46	41.3	4	11	36.4	9	10	90	9	15	24	12	3	1	1	4	8	6	0	-8
B. Bogdanovic, T. Young, D. Hunter, O. Okongwu, S. Bey	ATL	22	57	14	22	63.63636364	22	38	57.9	8	16	50	5	7	71.4	4	11	15	9	7	3	1	2	12	8	0	3
C. Capela, D. Murray, T. Young, O. Okongwu, S. Bey	ATL	22	53	18	26	69.23076923	22	44	50	4	18	22.2	5	6	83.3	11	23	34	14	10	0	2	0	6	12	0	11
P. Mills, B. Bogdanovic, T. Young, O. Okongwu, J. Johnson	ATL	22	43	6	20	30	15	42	35.7	9	22	40.9	4	5	80	5	10	15	10	8	4	1	2	9	6	0	-22
W. Matthews, C. Capela, B. Bogdanovic, D. Murray, D. Hunter	ATL	22	52	10	27	37.03703704	17	39	43.6	7	12	58.3	11	15	73.3	10	8	18	12	5	3	0	3	8	10	0	1
B. Bogdanovic, B. Fernando, T. Young, G. Mathews, J. Johnson	ATL	20	50	16	26	61.53846154	21	39	53.8	5	13	38.5	3	4	75	5	16	21	14	7	4	2	1	9	5	0	4
C. Capela, D. Murray, D. Hunter, V. Krejci, J. Johnson	ATL	20	56	12	20	60	19	39	48.7	7	19	36.8	11	14	78.6	6	15	21	13	4	2	2	1	5	9	0	17
C. Capela, B. Bogdanovic, D. Murray, T. Young, J. Johnson	ATL	20	45	11	21	52.38095238	17	48	35.4	6	27	22.2	5	6	83.3	9	14	23	11	6	3	2	2	9	9	0	-5
C. Capela, B. Bogdanovic, T. Young, O. Okongwu, S. Bey	ATL	19	34	8	19	42.10526316	13	38	34.2	5	19	26.3	3	6	50	6	14	20	6	6	3	2	2	5	9	0	-6
B. Bogdanovic, B. Fernando, G. Mathews, J. Johnson, K. Bufkin	ATL	19	38	9	19	47.36842105	15	35	42.9	6	16	37.5	2	2	100	4	13	17	9	7	2	2	1	9	5	0	-11
W. Matthews, B. Bogdanovic, D. Murray, O. Okongwu, S. Bey	ATL	19	39	11	21	52.38095238	13	36	36.1	2	15	13.3	11	12	91.7	7	13	20	6	5	3	1	2	9	11	0	-8
B. Bogdanovic, D. Murray, G. Mathews, O. Okongwu, S. Bey	ATL	19	47	9	17	52.94117647	16	30	53.3	7	13	53.8	8	10	80	4	12	16	11	7	3	1	1	8	9	0	0
C. Capela, B. Bogdanovic, D. Murray, D. Hunter, G. Mathews	ATL	18	55	16	27	59.25925926	21	40	52.5	5	13	38.5	8	8	100	7	10	17	13	3	4	0	2	8	6	0	5
W. Matthews, B. Bogdanovic, T. Young, O. Okongwu, J. Johnson	ATL	18	41	9	17	52.94117647	15	36	41.7	6	19	31.6	5	7	71.4	3	14	17	10	1	4	4	1	10	6	0	8
B. Bogdanovic, D. Murray, G. Mathews, O. Okongwu, J. Johnson	ATL	17	50	11	19	57.89473684	17	29	58.6	6	10	60	10	12	83.3	3	14	17	11	6	4	1	1	3	9	0	16
P. Mills, B. Bogdanovic, D. Murray, O. Okongwu, S. Bey	ATL	17	40	13	25	52	16	40	40	3	15	20	5	6	83.3	8	7	15	10	5	6	0	4	7	8	0	-7
W. Matthews, C. Capela, D. Murray, T. Young, S. Bey	ATL	17	39	11	22	50	15	36	41.7	4	14	28.6	5	6	83.3	5	8	13	11	3	4	2	6	7	3	0	-16
B. Bogdanovic, B. Fernando, D. Windler, G. Mathews, T. Forrest	ATL	17	44	10	18	55.55555556	16	30	53.3	6	12	50	6	7	85.7	3	10	13	10	2	5	1	1	5	8	0	10
P. Mills, B. Bogdanovic, O. Okongwu, T. Forrest, J. Johnson	ATL	16	25	6	16	37.5	10	29	34.5	4	13	30.8	1	1	100	2	13	15	10	6	2	1	1	4	4	0	-10
W. Matthews, C. Capela, B. Bogdanovic, D. Murray, V. Krejci	ATL	16	35	8	20	40	14	36	38.9	6	16	37.5	1	4	25	5	11	16	6	3	4	4	3	9	4	0	-4
B. Bogdanovic, T. Young, O. Okongwu, J. Johnson, A. Griffin	ATL	16	39	9	19	47.36842105	13	32	40.6	4	13	30.8	9	13	69.2	3	11	14	9	3	4	2	1	4	9	0	-3
B. Bogdanovic, D. Murray, D. Hunter, O. Okongwu, J. Johnson	ATL	16	37	10	16	62.5	13	27	48.1	3	11	27.3	8	12	66.7	2	10	12	7	3	4	0	2	4	8	0	1
B. Bogdanovic, T. Young, O. Okongwu, S. Bey, A. Griffin	ATL	15	44	7	11	63.63636364	16	31	51.6	9	20	45	3	5	60	3	7	10	8	4	3	2	3	10	4	0	-2
D. Murray, T. Young, D. Hunter, O. Okongwu, J. Johnson	ATL	15	46	12	21	57.14285714	16	29	55.2	4	8	50	10	12	83.3	3	8	11	9	6	4	0	4	11	7	0	-8
B. Fernando, G. Mathews, T. Forrest, A. Griffin, S. Lundy	ATL	15	32	7	8	87.5	10	19	52.6	3	11	27.3	9	12	75	0	12	12	8	7	2	1	0	2	6	0	2
B. Bogdanovic, B. Fernando, T. Young, D. Hunter, J. Johnson	ATL	15	44	13	25	52	18	37	48.6	5	12	41.7	3	4	75	8	9	17	9	2	2	4	1	5	2	0	2
P. Mills, D. Murray, G. Mathews, O. Okongwu, S. Bey	ATL	15	30	9	18	50	12	31	38.7	3	13	23.1	3	4	75	4	10	14	7	3	3	1	1	9	6	0	-3
C. Capela, D. Murray, D. Hunter, G. Mathews, S. Bey	ATL	14	25	7	22	31.81818182	9	31	29	2	9	22.2	5	9	55.6	6	11	17	3	2	1	2	3	2	8	0	-11
B. Bogdanovic, D. Murray, T. Young, S. Bey, J. Johnson	ATL	14	42	11	14	78.57142857	16	29	55.2	5	15	33.3	5	7	71.4	2	7	9	7	1	2	1	0	3	5	0	6
C. Capela, B. Bogdanovic, T. Young, G. Mathews, V. Krejci	ATL	14	49	10	12	83.33333333	19	26	73.1	9	14	64.3	2	2	100	1	11	12	18	2	3	0	0	3	3	0	16
B. Bogdanovic, D. Murray, B. Fernando, T. Young, D. Hunter	ATL	13	29	7	13	53.84615385	9	20	45	2	7	28.6	9	9	100	0	4	4	6	6	2	0	2	5	6	0	-27
D. Murray, B. Fernando, D. Hunter, G. Mathews, J. Johnson	ATL	13	18	6	15	40	8	25	32	2	10	20	0	0	0	4	9	13	5	9	1	0	4	10	1	0	-13
B. Bogdanovic, T. Young, O. Okongwu, S. Bey, S. Lundy	ATL	13	34	7	8	87.5	11	21	52.4	4	13	30.8	8	9	88.9	2	6	8	9	3	2	1	1	6	4	0	-2
B. Bogdanovic, D. Murray, B. Fernando, D. Hunter, V. Krejci	ATL	13	34	8	9	88.88888889	13	18	72.2	5	9	55.6	3	6	50	1	7	8	7	6	1	0	1	4	4	0	7
P. Mills, B. Bogdanovic, O. Okongwu, S. Bey, T. Forrest	ATL	13	29	8	15	53.33333333	11	28	39.3	3	13	23.1	4	7	57.1	6	8	14	5	4	2	0	2	9	5	0	-5
B. Bogdanovic, D. Murray, B. Fernando, D. Hunter, S. Bey	ATL	12	33	6	15	40	11	23	47.8	5	8	62.5	6	6	100	3	11	14	7	4	3	1	2	3	6	0	11
D. Murray, B. Fernando, D. Hunter, G. Mathews, T. Forrest	ATL	12	34	8	13	61.53846154	13	22	59.1	5	9	55.6	3	3	100	1	3	4	9	4	3	1	1	6	5	0	-2
P. Mills, C. Capela, B. Bogdanovic, D. Murray, S. Bey	ATL	12	37	10	18	55.55555556	13	26	50	3	8	37.5	8	8	100	3	14	17	5	1	0	0	4	3	6	0	19
B. Bogdanovic, D. Murray, D. Hunter, O. Okongwu, A. Griffin	ATL	12	28	5	10	50	8	18	44.4	3	8	37.5	9	9	100	0	9	9	2	2	3	1	1	5	6	0	4
W. Matthews, B. Bogdanovic, D. Murray, B. Fernando, G. Mathews	ATL	11	33	8	11	72.72727273	13	20	65	5	9	55.6	2	2	100	0	9	9	6	4	2	0	0	6	4	0	10
B. Bogdanovic, D. Murray, T. Young, D. Hunter, O. Okongwu	ATL	11	21	7	11	63.63636364	9	21	42.9	2	10	20	1	2	50	0	10	10	5	5	0	1	2	3	3	0	1
W. Matthews, B. Bogdanovic, B. Fernando, D. Windler, T. Forrest	ATL	11	22	6	12	50	8	20	40	2	8	25	4	5	80	3	10	13	6	4	0	3	1	4	3	0	0
B. Bogdanovic, B. Fernando, V. Krejci, J. Johnson, K. Bufkin	ATL	11	29	8	13	61.53846154	11	25	44	3	12	25	4	5	80	1	8	9	9	1	2	2	1	5	5	0	3
B. Bogdanovic, D. Murray, D. Hunter, G. Mathews, O. Okongwu	ATL	11	20	4	11	36.36363636	7	18	38.9	3	7	42.9	3	3	100	1	3	4	7	2	1	0	4	8	4	0	-10
W. Matthews, B. Bogdanovic, D. Murray, G. Mathews, O. Okongwu	ATL	10	24	4	8	50	6	13	46.2	2	5	40	10	12	83.3	1	4	5	3	3	1	0	0	4	5	0	-14
B. Bogdanovic, T. Young, O. Okongwu, T. Forrest, J. Johnson	ATL	10	20	6	14	42.85714286	8	21	38.1	2	7	28.6	2	2	100	3	0	3	6	4	5	0	2	1	2	0	-13
W. Matthews, B. Bogdanovic, D. Murray, D. Hunter, O. Okongwu	ATL	10	21	6	10	60	8	18	44.4	2	8	25	3	4	75	2	8	10	4	3	3	1	0	4	2	0	0
W. Matthews, D. Murray, T. Young, O. Okongwu, S. Bey	ATL	10	29	5	11	45.45454545	8	18	44.4	3	7	42.9	10	10	100	1	3	4	3	1	1	2	2	6	6	0	-4
C. Capela, B. Bogdanovic, D. Murray, T. Young, O. Okongwu	ATL	10	28	7	14	50	11	25	44	4	11	36.4	2	4	50	4	6	10	7	3	4	0	5	3	6	0	2
D. Murray, B. Fernando, T. Young, S. Bey, J. Johnson	ATL	10	16	7	15	46.66666667	7	23	30.4	0	8	0	2	2	100	7	7	14	6	2	0	2	1	4	2	0	-13
B. Bogdanovic, T. Young, D. Hunter, G. Mathews, J. Johnson	ATL	10	27	5	8	62.5	9	19	47.4	4	11	36.4	5	5	100	1	8	9	7	3	1	1	1	7	7	0	6
W. Matthews, C. Capela, D. Murray, V. Krejci, J. Johnson	ATL	10	25	5	15	33.33333333	9	24	37.5	4	9	44.4	3	6	50	5	7	12	7	0	0	2	4	1	4	0	-4
W. Matthews, B. Bogdanovic, T. Young, G. Mathews, O. Okongwu	ATL	10	21	2	4	50	6	18	33.3	4	14	28.6	5	6	83.3	1	9	10	3	3	1	0	0	6	4	0	-3
B. Bogdanovic, G. Mathews, O. Okongwu, T. Forrest, J. Johnson	ATL	9	23	2	5	40	7	15	46.7	5	10	50	4	4	100	0	3	3	7	4	3	1	0	3	3	0	-5
C. Capela, B. Bogdanovic, D. Murray, G. Mathews, O. Okongwu	ATL	9	19	5	11	45.45454545	8	19	42.1	3	8	37.5	0	1	0	5	7	12	8	3	1	1	2	6	2	0	-5
W. Matthews, T. Young, G. Mathews, O. Okongwu, S. Bey	ATL	9	21	6	8	75	7	13	53.8	1	5	20	6	8	75	0	4	4	4	2	2	0	0	4	6	0	-2
B. Bogdanovic, B. Fernando, T. Young, T. Forrest, J. Johnson	ATL	9	24	6	11	54.54545455	9	15	60	3	4	75	3	4	75	1	6	7	4	1	2	2	0	4	2	0	6
W. Matthews, B. Fernando, G. Mathews, T. Forrest, V. Krejci	ATL	9	16	5	9	55.55555556	5	12	41.7	0	3	0	6	7	85.7	2	5	7	5	2	1	1	1	0	3	0	2
B. Bogdanovic, B. Fernando, T. Young, D. Hunter, G. Mathews	ATL	9	21	6	11	54.54545455	8	17	47.1	2	6	33.3	3	6	50	2	5	7	6	3	1	0	0	2	6	0	-6
C. Capela, D. Murray, D. Hunter, S. Bey, J. Johnson	ATL	9	30	9	11	81.81818182	10	13	76.9	1	2	50	9	11	81.8	0	11	11	7	2	0	2	0	4	8	0	16
C. Capela, D. Murray, T. Young, G. Mathews, J. Johnson	ATL	9	21	7	11	63.63636364	9	20	45	2	9	22.2	1	2	50	4	7	11	5	1	1	2	2	3	2	0	-1
P. Mills, D. Murray, G. Mathews, O. Okongwu, J. Johnson	ATL	8	26	4	9	44.44444444	9	19	47.4	5	10	50	3	4	75	2	7	9	4	1	1	1	2	3	4	0	4
